game_id,date,datetime,season,status,period,time,postseason,postponed,ist_stage,home_team_id,home_team_abbr,home_team_name,home_score,home_q1,home_q2,home_q3,home_q4,home_ot1,home_ot2,home_ot3,home_timeouts,home_in_bonus,visitor_team_id,visitor_team_abbr,visitor_team_name,visitor_score,visitor_q1,visitor_q2,visitor_q3,visitor_q4,visitor_ot1,visitor_ot2,visitor_ot3,visitor_timeouts,visitor_in_bonus
18447401,2026-01-16,2026-01-17T00:30:00.000Z,2025,Final,4,Final,False,False,,3,BKN,Brooklyn Nets,112,27,30,32,23,,,,0,True,5,CHI,Chicago Bulls,109,23,17,32,37,,,,0,False
18447402,2026-01-16,2026-01-17T00:00:00.000Z,2025,Final,4,Final,False,False,,12,IND,Indiana Pacers,127,31,42,29,25,,,,2,True,19,NOP,New Orleans Pelicans,119,33,33,27,26,,,,2,True
18447403,2026-01-16,2026-01-17T00:00:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,115,31,31,29,24,,,,0,False,6,CLE,Cleveland Cavaliers,117,31,24,29,33,,,,0,False
18447404,2026-01-16,2026-01-17T00:30:00.000Z,2025,Final,5,Final,False,False,,28,TOR,Toronto Raptors,117,32,29,28,20,8.0,,,1,False,13,LAC,LA Clippers,121,24,28,26,31,12.0,,,1,True
18447405,2026-01-16,2026-01-17T02:30:00.000Z,2025,Final,4,Final,False,False,,11,HOU,Houston Rockets,110,29,24,28,29,,,,2,True,18,MIN,Minnesota Timberwolves,105,34,21,27,23,,,,0,True
18447406,2026-01-16,2026-01-17T03:00:00.000Z,2025,Final,4,Final,False,False,,26,SAC,Sacramento Kings,128,41,26,34,27,,,,1,False,30,WAS,Washington Wizards,115,22,39,23,31,,,,1,False
18447407,2026-01-17,2026-01-17T22:00:00.000Z,2025,Final,4,Final,False,False,,7,DAL,Dallas Mavericks,138,42,29,35,32,,,,2,True,29,UTA,Utah Jazz,120,29,30,35,26,,,,2,False
18447408,2026-01-17,2026-01-18T00:30:00.000Z,2025,Final,4,Final,False,False,,1,ATL,Atlanta Hawks,106,23,28,23,32,,,,1,True,2,BOS,Boston Celtics,132,30,52,35,15,,,,2,False
18447409,2026-01-17,2026-01-18T00:30:00.000Z,2025,Final,4,Final,False,False,,9,DET,Detroit Pistons,121,31,28,33,29,,,,2,False,12,IND,Indiana Pacers,78,11,14,28,25,,,,2,True
18447410,2026-01-17,2026-01-18T00:30:00.000Z,2025,Final,4,Final,False,False,,20,NYK,New York Knicks,99,27,29,21,22,,,,1,True,24,PHX,Phoenix Suns,106,19,36,25,26,,,,4,True
18447411,2026-01-17,2026-01-18T01:00:00.000Z,2025,Final,4,Final,False,False,,16,MIA,Miami Heat,122,30,30,35,27,,,,1,True,21,OKC,Oklahoma City Thunder,120,37,28,30,25,,,,0,False
18447412,2026-01-17,2026-01-18T01:00:00.000Z,2025,Final,4,Final,False,False,,27,SAS,San Antonio Spurs,126,21,48,27,30,,,,1,True,18,MIN,Minnesota Timberwolves,123,22,22,40,39,,,,1,True
18447413,2026-01-17,2026-01-18T01:30:00.000Z,2025,Final,4,Final,False,False,,10,GSW,Golden State Warriors,136,39,30,43,24,,,,2,False,4,CHA,Charlotte Hornets,116,28,29,37,22,,,,1,True
18447414,2026-01-17,2026-01-18T02:00:00.000Z,2025,Final,4,Final,False,False,,8,DEN,Denver Nuggets,121,36,26,21,38,,,,2,True,30,WAS,Washington Wizards,115,29,34,23,29,,,,0,True
18447415,2026-01-17,2026-01-18T03:00:00.000Z,2025,Final,4,Final,False,False,,25,POR,Portland Trail Blazers,132,40,31,36,25,,,,2,False,14,LAL,Los Angeles Lakers,116,27,34,29,26,,,,2,False
18447416,2026-01-18,2026-01-18T17:00:00.000Z,2025,Final,4,Final,False,False,,15,MEM,Memphis Grizzlies,126,40,32,28,26,,,,1,True,22,ORL,Orlando Magic,109,23,30,28,28,,,,2,True
18447417,2026-01-18,2026-01-19T00:00:00.000Z,2025,Final,4,Final,False,False,,5,CHI,Chicago Bulls,124,39,31,25,29,,,,2,False,3,BKN,Brooklyn Nets,102,22,29,20,31,,,,1,True
18447418,2026-01-18,2026-01-19T00:00:00.000Z,2025,Final,4,Final,False,False,,11,HOU,Houston Rockets,119,32,32,23,32,,,,2,True,19,NOP,New Orleans Pelicans,110,30,24,26,30,,,,1,False
18447419,2026-01-18,2026-01-19T01:00:00.000Z,2025,Final,4,Final,False,False,,8,DEN,Denver Nuggets,87,18,16,23,30,,,,1,True,4,CHA,Charlotte Hornets,110,33,27,27,23,,,,2,False
18447420,2026-01-18,2026-01-19T02:00:00.000Z,2025,Final,4,Final,False,False,,26,SAC,Sacramento Kings,110,32,21,29,28,,,,1,True,25,POR,Portland Trail Blazers,117,32,32,29,24,,,,1,True
18447421,2026-01-18,2026-01-19T02:30:00.000Z,2025,Final,4,Final,False,False,,14,LAL,Los Angeles Lakers,110,23,32,32,23,,,,2,True,28,TOR,Toronto Raptors,93,30,24,26,13,,,,1,False
18447422,2026-01-19,2026-01-19T18:00:00.000Z,2025,Final,4,Final,False,False,,1,ATL,Atlanta Hawks,110,19,19,34,38,,,,0,True,17,MIL,Milwaukee Bucks,112,20,34,26,32,,,,2,True
18447423,2026-01-19,2026-01-19T19:30:00.000Z,2025,Final,4,Final,False,False,,6,CLE,Cleveland Cavaliers,104,27,24,28,25,,,,1,True,21,OKC,Oklahoma City Thunder,136,32,34,25,45,,,,2,False
18447424,2026-01-19,2026-01-19T22:00:00.000Z,2025,Final,4,Final,False,False,,20,NYK,New York Knicks,97,22,25,24,26,,,,1,True,7,DAL,Dallas Mavericks,114,31,44,19,20,,,,3,True
18447425,2026-01-19,2026-01-20T01:00:00.000Z,2025,Final,4,Final,False,False,,9,DET,Detroit Pistons,104,26,33,25,20,,,,2,False,2,BOS,Boston Celtics,103,29,22,31,21,,,,1,True
18447426,2026-01-19,2026-01-19T20:00:00.000Z,2025,Final,4,Final,False,False,,30,WAS,Washington Wizards,106,26,27,28,25,,,,0,True,13,LAC,LA Clippers,110,26,28,25,31,,,,0,True
18447427,2026-01-19,2026-01-20T00:00:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,113,33,17,32,31,,,,2,True,12,IND,Indiana Pacers,104,30,25,26,23,,,,1,False
18447428,2026-01-19,2026-01-20T00:30:00.000Z,2025,Final,4,Final,False,False,,3,BKN,Brooklyn Nets,117,26,42,21,28,,,,1,False,24,PHX,Phoenix Suns,126,40,32,31,23,,,,2,True
18447429,2026-01-19,2026-01-19T22:00:00.000Z,2025,Final,4,Final,False,False,,27,SAS,San Antonio Spurs,123,34,27,35,27,,,,1,True,29,UTA,Utah Jazz,110,26,31,23,30,,,,3,True
18447430,2026-01-19,2026-01-20T03:00:00.000Z,2025,Final,4,Final,False,False,,10,GSW,Golden State Warriors,135,36,34,34,31,,,,2,False,16,MIA,Miami Heat,112,34,32,27,19,,,,1,False
18447431,2026-01-20,2026-01-21T00:00:00.000Z,2025,Final,4,Final,False,False,,23,PHI,Philadelphia 76ers,110,30,23,31,26,,,,1,True,24,PHX,Phoenix Suns,116,27,30,40,19,,,,1,True
18447432,2026-01-20,2026-01-21T01:00:00.000Z,2025,Final,4,Final,False,False,,5,CHI,Chicago Bulls,138,25,45,32,36,,,,2,False,13,LAC,LA Clippers,110,30,19,34,27,,,,2,True
18447433,2026-01-20,2026-01-21T01:00:00.000Z,2025,Final,4,Final,False,False,,11,HOU,Houston Rockets,111,28,32,22,29,,,,1,True,27,SAS,San Antonio Spurs,106,39,31,22,14,,,,1,False
18447434,2026-01-20,2026-01-21T02:00:00.000Z,2025,Final,4,Final,False,False,,29,UTA,Utah Jazz,127,29,30,25,43,,,,0,True,18,MIN,Minnesota Timberwolves,122,34,24,38,26,,,,1,True
18447435,2026-01-20,2026-01-21T03:00:00.000Z,2025,Final,4,Final,False,False,,8,DEN,Denver Nuggets,107,37,34,17,19,,,,0,False,14,LAL,Los Angeles Lakers,115,28,29,29,29,,,,1,True
18447436,2026-01-20,2026-01-21T03:00:00.000Z,2025,Final,4,Final,False,False,,10,GSW,Golden State Warriors,127,28,22,44,33,,,,1,False,28,TOR,Toronto Raptors,145,41,29,38,37,,,,1,True
18447437,2026-01-20,2026-01-21T03:00:00.000Z,2025,Final,4,Final,False,False,,26,SAC,Sacramento Kings,117,25,39,25,28,,,,1,False,16,MIA,Miami Heat,130,32,45,23,30,,,,2,False
