lineup_id,game_id,starter,position,player_id,player_name,player_position,jersey_number,team_id,team_abbr
4391,18446928,False,G,17895858,Quentin Grimes,G,5,23,PHI
4392,18446928,False,G,1057848561,Hunter Sallis,G,45,23,PHI
4811,18446952,True,F,17896058,Trendon Watford,F,12,23,PHI
4812,18446952,True,C,145,Joel Embiid,F-C,21,23,PHI
4813,18446952,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
4814,18446952,True,G,3547254,Tyrese Maxey,G,0,23,PHI
4815,18446952,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
4816,18446952,False,F,38017711,Jabari Walker,F,33,23,PHI
4817,18446952,False,F,1028214238,Justin Edwards,F,11,23,PHI
4818,18446952,False,C,137,Andre Drummond,C,1,23,PHI
4819,18446952,False,C,1028034846,Adem Bona,F,30,23,PHI
4820,18446952,False,G,17895858,Quentin Grimes,G,5,23,PHI
4996,18446963,True,F,17896058,Trendon Watford,F,12,23,PHI
4997,18446963,True,C,137,Andre Drummond,C,1,23,PHI
4998,18446963,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
4999,18446963,True,G,3547254,Tyrese Maxey,G,0,23,PHI
5000,18446963,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
5001,18446963,False,F,38017711,Jabari Walker,F,33,23,PHI
5002,18446963,False,C,1028034846,Adem Bona,F,30,23,PHI
5003,18446963,False,G,178,Eric Gordon,G,23,23,PHI
5004,18446963,False,G,17895858,Quentin Grimes,G,5,23,PHI
5005,18446963,False,G,1028027372,Jared McCain,G,20,23,PHI
5337,18446977,True,F,17896058,Trendon Watford,F,12,23,PHI
5338,18446977,True,C,137,Andre Drummond,C,1,23,PHI
5339,18446977,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
5340,18446977,True,G,3547254,Tyrese Maxey,G,0,23,PHI
5341,18446977,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
5342,18446977,False,F,38017711,Jabari Walker,F,33,23,PHI
5343,18446977,False,F,1028214238,Justin Edwards,F,11,23,PHI
5344,18446977,False,C,1028034846,Adem Bona,F,30,23,PHI
5345,18446977,False,G,17895858,Quentin Grimes,G,5,23,PHI
5346,18446977,False,G,1028027372,Jared McCain,G,20,23,PHI
5759,18446998,True,F,17896058,Trendon Watford,F,12,23,PHI
5760,18446998,True,C,137,Andre Drummond,C,1,23,PHI
5761,18446998,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
5762,18446998,True,G,3547254,Tyrese Maxey,G,0,23,PHI
5763,18446998,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
5764,18446998,False,F,38017711,Jabari Walker,F,33,23,PHI
5765,18446998,False,F,1028214238,Justin Edwards,F,11,23,PHI
5766,18446998,False,F,38017730,Dominick Barlow,F,25,23,PHI
5767,18446998,False,C,1028034846,Adem Bona,F,30,23,PHI
5768,18446998,False,G,17895858,Quentin Grimes,G,5,23,PHI
6282,18447020,True,F,172,Paul George,F,8,23,PHI
6283,18447020,True,F,38017730,Dominick Barlow,F,25,23,PHI
6284,18447020,True,C,137,Andre Drummond,C,1,23,PHI
6285,18447020,True,G,3547254,Tyrese Maxey,G,0,23,PHI
6286,18447020,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
6287,18447020,False,F,17896058,Trendon Watford,F,12,23,PHI
6288,18447020,False,F,38017711,Jabari Walker,F,33,23,PHI
6289,18447020,False,F,1028214238,Justin Edwards,F,11,23,PHI
6290,18447020,False,G,17895858,Quentin Grimes,G,5,23,PHI
6291,18447020,False,G,1028027372,Jared McCain,G,20,23,PHI
6540,18447035,True,F,1028214238,Justin Edwards,F,11,23,PHI
6541,18447035,True,F,38017730,Dominick Barlow,F,25,23,PHI
6542,18447035,True,C,137,Andre Drummond,C,1,23,PHI
6543,18447035,True,G,3547254,Tyrese Maxey,G,0,23,PHI
6544,18447035,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
6545,18447035,False,F,17896058,Trendon Watford,F,12,23,PHI
6546,18447035,False,F,38017711,Jabari Walker,F,33,23,PHI
6547,18447035,False,G,17895858,Quentin Grimes,G,5,23,PHI
6548,18447035,False,G,1028027372,Jared McCain,G,20,23,PHI
6688,18447043,True,F,172,Paul George,F,8,23,PHI
6689,18447043,True,F,1028214238,Justin Edwards,F,11,23,PHI
6690,18447043,True,C,137,Andre Drummond,C,1,23,PHI
6691,18447043,True,G,3547254,Tyrese Maxey,G,0,23,PHI
6692,18447043,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
6693,18447043,False,F,17896058,Trendon Watford,F,12,23,PHI
6694,18447043,False,F,38017711,Jabari Walker,F,33,23,PHI
6695,18447043,False,F,38017730,Dominick Barlow,F,25,23,PHI
6696,18447043,False,G,17895858,Quentin Grimes,G,5,23,PHI
6697,18447043,False,G,1028027372,Jared McCain,G,20,23,PHI
7181,18447061,True,F,172,Paul George,F,8,23,PHI
7182,18447061,True,F,1028214238,Justin Edwards,F,11,23,PHI
7183,18447061,True,C,137,Andre Drummond,C,1,23,PHI
7184,18447061,True,G,17895858,Quentin Grimes,G,5,23,PHI
7185,18447061,True,G,3547254,Tyrese Maxey,G,0,23,PHI
7186,18447061,False,F,17896058,Trendon Watford,F,12,23,PHI
7187,18447061,False,F,38017711,Jabari Walker,F,33,23,PHI
7188,18447061,False,F,1057382509,Johni Broome,F,22,23,PHI
7189,18447061,False,F,38017730,Dominick Barlow,F,25,23,PHI
7190,18447061,False,G,1057848561,Hunter Sallis,G,45,23,PHI
7191,18447061,False,G,1028027372,Jared McCain,G,20,23,PHI
7558,18447080,True,F,1028214238,Justin Edwards,F,11,23,PHI
7559,18447080,True,F,38017730,Dominick Barlow,F,25,23,PHI
7560,18447080,True,C,137,Andre Drummond,C,1,23,PHI
7561,18447080,True,G,17895858,Quentin Grimes,G,5,23,PHI
7562,18447080,True,G,3547254,Tyrese Maxey,G,0,23,PHI
7563,18447080,False,F,17896058,Trendon Watford,F,12,23,PHI
7564,18447080,False,F,38017711,Jabari Walker,F,33,23,PHI
7565,18447080,False,F,1057382509,Johni Broome,F,22,23,PHI
7566,18447080,False,G,178,Eric Gordon,G,23,23,PHI
7567,18447080,False,G,1057848561,Hunter Sallis,G,45,23,PHI
7568,18447080,False,G,1028027372,Jared McCain,G,20,23,PHI
7939,18447092,True,F,172,Paul George,F,8,23,PHI
7940,18447092,True,F,38017730,Dominick Barlow,F,25,23,PHI
7941,18447092,True,C,137,Andre Drummond,C,1,23,PHI
7942,18447092,True,G,17895858,Quentin Grimes,G,5,23,PHI
7943,18447092,True,G,3547254,Tyrese Maxey,G,0,23,PHI
7944,18447092,False,F,38017711,Jabari Walker,F,33,23,PHI
7945,18447092,False,F,1057382509,Johni Broome,F,22,23,PHI
7946,18447092,False,F,1028214238,Justin Edwards,F,11,23,PHI
7947,18447092,False,C,1028034846,Adem Bona,F,30,23,PHI
7948,18447092,False,G,286,Kyle Lowry,G,7,23,PHI
7949,18447092,False,G,1028027372,Jared McCain,G,20,23,PHI
8457,18447113,True,F,172,Paul George,F,8,23,PHI
8458,18447113,True,F,38017730,Dominick Barlow,F,25,23,PHI
8459,18447113,True,C,145,Joel Embiid,F-C,21,23,PHI
8460,18447113,True,G,3547254,Tyrese Maxey,G,0,23,PHI
8461,18447113,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
8462,18447113,False,F,1028214238,Justin Edwards,F,11,23,PHI
8463,18447113,False,C,137,Andre Drummond,C,1,23,PHI
8464,18447113,False,C,1028034846,Adem Bona,F,30,23,PHI
8465,18447113,False,G,17895858,Quentin Grimes,G,5,23,PHI
8466,18447113,False,G,1028027372,Jared McCain,G,20,23,PHI
8971,18447127,True,F,172,Paul George,F,8,23,PHI
8972,18447127,True,F,38017730,Dominick Barlow,F,25,23,PHI
8973,18447127,True,C,137,Andre Drummond,C,1,23,PHI
8974,18447127,True,G,3547254,Tyrese Maxey,G,0,23,PHI
8975,18447127,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
8976,18447127,False,F,38017711,Jabari Walker,F,33,23,PHI
8977,18447127,False,F,1057382509,Johni Broome,F,22,23,PHI
8978,18447127,False,F,1028214238,Justin Edwards,F,11,23,PHI
8979,18447127,False,C,1028034846,Adem Bona,F,30,23,PHI
8980,18447127,False,G,178,Eric Gordon,G,23,23,PHI
8981,18447127,False,G,1057848561,Hunter Sallis,G,45,23,PHI
8982,18447127,False,G,1028027372,Jared McCain,G,20,23,PHI
9341,18447142,True,F,38017730,Dominick Barlow,F,25,23,PHI
9342,18447142,True,C,145,Joel Embiid,F-C,21,23,PHI
9343,18447142,True,G,17895858,Quentin Grimes,G,5,23,PHI
9344,18447142,True,G,3547254,Tyrese Maxey,G,0,23,PHI
9345,18447142,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
9346,18447142,False,F,38017711,Jabari Walker,F,33,23,PHI
9347,18447142,False,F,1028214238,Justin Edwards,F,11,23,PHI
9348,18447142,False,C,137,Andre Drummond,C,1,23,PHI
9349,18447142,False,C,1028034846,Adem Bona,F,30,23,PHI
9350,18447142,False,G,1028027372,Jared McCain,G,20,23,PHI
9393,18447157,True,F,172,Paul George,F,8,23,PHI
9394,18447157,True,F,38017730,Dominick Barlow,F,25,23,PHI
9395,18447157,True,C,137,Andre Drummond,C,1,23,PHI
9396,18447157,True,G,3547254,Tyrese Maxey,G,0,23,PHI
9397,18447157,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
9398,18447157,False,F,38017711,Jabari Walker,F,33,23,PHI
9399,18447157,False,F,1028214238,Justin Edwards,F,11,23,PHI
9400,18447157,False,C,1028034846,Adem Bona,F,30,23,PHI
9401,18447157,False,G,286,Kyle Lowry,G,7,23,PHI
9402,18447157,False,G,17895858,Quentin Grimes,G,5,23,PHI
9403,18447157,False,G,1028027372,Jared McCain,G,20,23,PHI
9823,18447171,True,F,172,Paul George,F,8,23,PHI
9824,18447171,True,F,38017730,Dominick Barlow,F,25,23,PHI
9825,18447171,True,C,145,Joel Embiid,F-C,21,23,PHI
9826,18447171,True,G,3547254,Tyrese Maxey,G,0,23,PHI
9827,18447171,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
9828,18447171,False,F,38017711,Jabari Walker,F,33,23,PHI
9829,18447171,False,C,137,Andre Drummond,C,1,23,PHI
9830,18447171,False,G,17895858,Quentin Grimes,G,5,23,PHI
9831,18447171,False,G,1028027372,Jared McCain,G,20,23,PHI
10093,20054964,True,F,172,Paul George,F,8,23,PHI
10094,20054964,True,F,38017730,Dominick Barlow,F,25,23,PHI
10095,20054964,True,C,145,Joel Embiid,F-C,21,23,PHI
10096,20054964,True,G,17895858,Quentin Grimes,G,5,23,PHI
10097,20054964,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
10178,20054970,True,F,172,Paul George,F,8,23,PHI
10179,20054970,True,F,38017730,Dominick Barlow,F,25,23,PHI
10180,20054970,True,C,145,Joel Embiid,F-C,21,23,PHI
10181,20054970,True,G,17895858,Quentin Grimes,G,5,23,PHI
10182,20054970,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
10451,18447191,True,F,172,Paul George,F,8,23,PHI
10452,18447191,True,F,38017730,Dominick Barlow,F,25,23,PHI
10453,18447191,True,C,137,Andre Drummond,C,1,23,PHI
10454,18447191,True,G,3547254,Tyrese Maxey,G,0,23,PHI
10455,18447191,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
10506,18447196,True,F,38017730,Dominick Barlow,F,25,23,PHI
10507,18447196,True,C,137,Andre Drummond,C,1,23,PHI
10508,18447196,True,G,17895858,Quentin Grimes,G,5,23,PHI
10509,18447196,True,G,3547254,Tyrese Maxey,G,0,23,PHI
10510,18447196,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
10727,18447219,True,F,172,Paul George,F,8,23,PHI
10728,18447219,True,F,38017711,Jabari Walker,F,33,23,PHI
10729,18447219,True,C,145,Joel Embiid,F-C,21,23,PHI
10730,18447219,True,G,3547254,Tyrese Maxey,G,0,23,PHI
10731,18447219,True,G,1028027372,Jared McCain,G,20,23,PHI
10953,18447241,True,F,172,Paul George,F,8,23,PHI
10954,18447241,True,F,38017730,Dominick Barlow,F,25,23,PHI
10955,18447241,True,C,145,Joel Embiid,F-C,21,23,PHI
10956,18447241,True,G,3547254,Tyrese Maxey,G,0,23,PHI
10957,18447241,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
11093,18447256,True,F,172,Paul George,F,8,23,PHI
11094,18447256,True,F,38017730,Dominick Barlow,F,25,23,PHI
11095,18447256,True,C,137,Andre Drummond,C,1,23,PHI
11096,18447256,True,G,3547254,Tyrese Maxey,G,0,23,PHI
11097,18447256,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
11263,18447272,True,F,172,Paul George,F,8,23,PHI
11264,18447272,True,F,38017730,Dominick Barlow,F,25,23,PHI
11265,18447272,True,C,145,Joel Embiid,F-C,21,23,PHI
11266,18447272,True,G,3547254,Tyrese Maxey,G,0,23,PHI
11267,18447272,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
11413,18447287,True,F,172,Paul George,F,8,23,PHI
11414,18447287,True,F,38017730,Dominick Barlow,F,25,23,PHI
11415,18447287,True,C,145,Joel Embiid,F-C,21,23,PHI
11416,18447287,True,G,3547254,Tyrese Maxey,G,0,23,PHI
11417,18447287,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
11553,18447301,True,F,172,Paul George,F,8,23,PHI
11554,18447301,True,F,38017730,Dominick Barlow,F,25,23,PHI
11555,18447301,True,C,145,Joel Embiid,F-C,21,23,PHI
11556,18447301,True,G,3547254,Tyrese Maxey,G,0,23,PHI
11557,18447301,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
11758,18447321,True,F,172,Paul George,F,8,23,PHI
11759,18447321,True,F,38017730,Dominick Barlow,F,25,23,PHI
11760,18447321,True,C,145,Joel Embiid,F-C,21,23,PHI
11761,18447321,True,G,3547254,Tyrese Maxey,G,0,23,PHI
11762,18447321,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
11858,18447332,True,F,172,Paul George,F,8,23,PHI
11859,18447332,True,F,38017730,Dominick Barlow,F,25,23,PHI
11860,18447332,True,C,145,Joel Embiid,F-C,21,23,PHI
11861,18447332,True,G,3547254,Tyrese Maxey,G,0,23,PHI
11862,18447332,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
12013,18447347,True,F,172,Paul George,F,8,23,PHI
12014,18447347,True,F,38017730,Dominick Barlow,F,25,23,PHI
12015,18447347,True,C,145,Joel Embiid,F-C,21,23,PHI
12016,18447347,True,G,3547254,Tyrese Maxey,G,0,23,PHI
12017,18447347,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
238744,18447364,True,F,38017730,Dominick Barlow,F,25,23,PHI
238745,18447364,True,C,137,Andre Drummond,C,1,23,PHI
238746,18447364,True,G,360,Kelly Oubre Jr.,F,9,23,PHI
238747,18447364,True,G,3547254,Tyrese Maxey,G,0,23,PHI
238748,18447364,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
238749,18447364,False,F,17896058,Trendon Watford,F,12,23,PHI
238750,18447364,False,F,38017711,Jabari Walker,F,33,23,PHI
238751,18447364,False,C,1028034846,Adem Bona,F,30,23,PHI
238752,18447364,False,G,17895858,Quentin Grimes,G,5,23,PHI
238753,18447364,False,G,1028027372,Jared McCain,G,20,23,PHI
238765,18447374,True,F,172,Paul George,F,8,23,PHI
238766,18447374,True,F,38017730,Dominick Barlow,F,25,23,PHI
238767,18447374,True,C,145,Joel Embiid,F-C,21,23,PHI
238768,18447374,True,G,3547254,Tyrese Maxey,G,0,23,PHI
238769,18447374,True,G,1057261935,VJ Edgecombe,G,77,23,PHI
238770,18447374,False,F,17896058,Trendon Watford,F,12,23,PHI
238771,18447374,False,F,38017711,Jabari Walker,F,33,23,PHI
238772,18447374,False,F,1028214238,Justin Edwards,F,11,23,PHI
238773,18447374,False,C,1028034846,Adem Bona,F,30,23,PHI
238774,18447374,False,G,286,Kyle Lowry,G,7,23,PHI
