odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
7470918,18446924,betmgm,3.5,-115,-3.5,-110,180.0,-235.0,235.5,100.0,-130.0,2025-11-05T03:28:25.624Z
7531215,18446924,bet365,-1.5,-140,1.5,110,-500.0,350.0,231.5,-115.0,-115.0,2025-11-05T03:29:44.329Z
8142939,18446928,fanduel,-10.5,-125,10.5,-106,-50000.0,3500.0,258.5,-130.0,-102.0,2025-11-06T02:36:44.055Z
8167568,18446928,draftkings,-11.5,180,11.5,-238,-8500.0,2200.0,254.5,-160.0,124.0,2025-11-06T02:37:13.839Z
8176131,18446928,caesars,-10.5,110,10.5,-140,-5000.0,1400.0,252.5,100.0,-130.0,2025-11-06T02:35:56.961Z
8179279,18446928,betmgm,-15.5,-110,15.5,-118,-10000.0,1350.0,251.5,-105.0,-125.0,2025-11-06T02:38:21.885Z
8190183,18446928,espnbet,-16.5,-120,16.5,-110,-8000.0,2500.0,244.5,-115.0,-115.0,2025-11-06T02:37:51.709Z
8277307,18446928,bet365,-10.5,-115,10.5,-115,-15000.0,1800.0,251.5,100.0,-130.0,2025-11-06T02:36:45.713Z
10459423,18446952,draftkings,-7.5,-140,7.5,110,-15000.0,2500.0,252.5,-110.0,-120.0,2025-11-09T03:05:09.815Z
10459727,18446952,caesars,-7.5,-130,7.5,100,-1600.0,800.0,250.5,-50000.0,4000.0,2025-11-09T03:05:56.976Z
10470897,18446952,betmgm,-8.5,110,8.5,-145,-5000.0,1200.0,253.5,-110.0,-118.0,2025-11-09T03:06:27.571Z
10472301,18446952,espnbet,-5.5,100,5.5,-130,-1400.0,700.0,252.5,-105.0,-125.0,2025-11-09T03:05:38.259Z
10473918,18446952,fanduel,-7.5,-144,7.5,108,-50000.0,3500.0,254.5,-110.0,-120.0,2025-11-09T03:06:42.749Z
10604505,18446952,bet365,-9.5,-115,9.5,-115,-8000.0,1650.0,253.5,100.0,-130.0,2025-11-09T03:05:43.837Z
11083176,18446963,draftkings,3.5,-140,-3.5,110,650.0,-1150.0,221.5,-110.0,-120.0,2025-11-10T03:04:10.676Z
11092857,18446963,fanduel,3.5,-118,-3.5,-112,680.0,-1400.0,222.5,-114.0,-114.0,2025-11-10T03:05:42.780Z
11109098,18446963,caesars,5.5,-135,-5.5,105,640.0,-1100.0,221.5,-125.0,-105.0,2025-11-10T03:03:56.755Z
11149315,18446963,bet365,2.5,110,-2.5,-140,600.0,-1000.0,223.5,-115.0,-115.0,2025-11-10T03:04:44.643Z
11180164,18446963,espnbet,3.5,-140,-3.5,110,750.0,-1600.0,222.5,340.0,-550.0,2025-11-10T03:04:26.349Z
11189033,18446963,betmgm,4.5,-118,-4.5,-110,260.0,-350.0,223.5,-110.0,-118.0,2025-11-10T03:05:21.655Z
12374181,18446977,caesars,1.5,-170,-1.5,135,-280.0,215.0,208.5,-120.0,-110.0,2025-11-12T03:32:04.062Z
