game_id,date,season,status,period,time,postseason,home_team_id,home_team_name,home_team_abbr,home_team_city,home_team_conference,home_team_division,home_score,visitor_team_id,visitor_team_name,visitor_team_abbr,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_score
18447322,2026-01-05,2025,Final,4,Final,False,13,LA Clippers,LAC,LA,West,Pacific,103,10,Golden State Warriors,GSW,Golden State,West,Pacific,102
18447323,2026-01-05,2025,Final,4,Final,False,25,Portland Trail Blazers,POR,Portland,West,Northwest,137,29,Utah Jazz,UTA,Utah,West,Northwest,117
18447324,2026-01-06,2025,Final,4,Final,False,12,Indiana Pacers,IND,Indiana,East,Central,116,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,120
18447325,2026-01-06,2025,Final,4,Final,False,30,Washington Wizards,WAS,Washington,East,Southeast,120,22,Orlando Magic,ORL,Orlando,East,Southeast,112
18447326,2026-01-06,2025,Final,4,Final,False,15,Memphis Grizzlies,MEM,Memphis,West,Southwest,106,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,105
18447327,2026-01-06,2025,Final,4,Final,False,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,122,16,Miami Heat,MIA,Miami,East,Southeast,94
18447328,2026-01-06,2025,Final,4,Final,False,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,103,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,111
18447329,2026-01-06,2025,Final,4,Final,False,26,Sacramento Kings,SAC,Sacramento,West,Pacific,98,7,Dallas Mavericks,DAL,Dallas,West,Southwest,100
18447330,2026-01-07,2025,Final,4,Final,False,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,96,28,Toronto Raptors,TOR,Toronto,East,Atlantic,97
18447331,2026-01-07,2025,Final,4,Final,False,9,Detroit Pistons,DET,Detroit,East,Central,108,5,Chicago Bulls,CHI,Chicago,East,Central,93
18447332,2026-01-07,2025,Final,4,Final,False,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,131,30,Washington Wizards,WAS,Washington,East,Southeast,110
18447333,2026-01-07,2025,Final,4,Final,False,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,117,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,100
18447334,2026-01-07,2025,Final,4,Final,False,2,Boston Celtics,BOS,Boston,East,Atlantic,110,8,Denver Nuggets,DEN,Denver,West,Northwest,114
18447335,2026-01-07,2025,Final,5,Final,False,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,103,22,Orlando Magic,ORL,Orlando,East,Southeast,104
